latitude,longitude,year_built,years_old,distance_downtown,monthly_payments,lot_size,basement,garage,mls
51.080529,-114.145,2018.0,2.0,6.35,2810.25,na,0.0,1.0,A1046940
51.132727,-114.24700000000001,2005.0,15.0,15.54,2802.03,5145,1.0,1.0,A1047091
51.164469,-114.057,2002.0,18.0,13.35,1554.52,3918,1.0,1.0,A1046748
51.136122,-114.196,1999.0,21.0,13.25,5405.15,6501,1.0,1.0,A1047017
51.06472,-114.209,2020.0,0.0,9.69,1448.15,,0.0,0.0,A1047046
51.050504,-114.039,2016.0,4.0,2.52,1729.65,,0.0,1.0,A1046980
51.061713,-114.03299999999999,2002.0,18.0,3.42,1513.44,na,0.0,1.0,A1044826
51.088107,-114.08200000000001,1958.0,62.0,4.83,2200.98,5587,1.0,1.0,A1046870
50.888762,-114.083,2010.0,10.0,17.38,2810.25,4467,1.0,1.0,A1043396
51.089646,-114.205,1958.0,62.0,10.42,2810.25,10592,1.0,1.0,A1047022
51.057466999999995,-114.053,2011.0,9.0,2.02,1511.28,,0.0,1.0,A1046769
51.041889000000005,-114.068,2018.0,2.0,0.54,2849.6,,0.0,1.0,A1046729
51.015494,-114.214,2001.0,19.0,10.33,3090.88,6738,1.0,1.0,A1046396
51.020962,-114.132,1956.0,64.0,4.86,3394.0,5985,1.0,1.0,A1047035
51.138979,-114.238,2002.0,18.0,15.52,1080.6,,0.0,1.0,A1046800
51.105635,-113.941,1981.0,39.0,11.48,1426.53,4359,1.0,0.0,A1046604
51.05899,-114.119,,,3.52,,,0.0,0.0,
51.152915,-114.045,,,12.18,2810.25,4263,1.0,1.0,A1045936
51.02329,-114.15,2020.0,0.0,5.84,908.07,,0.0,0.0,A1046746
51.093584,-114.133,1968.0,52.0,6.8,2330.7,4994,1.0,0.0,A1046995
51.080529,-114.145,1963.0,57.0,6.35,2810.25,na,0.0,1.0,A1046940
51.132727,-114.24700000000001,2018.0,2.0,15.54,2802.03,5145,1.0,1.0,A1047091
51.164469,-114.057,2005.0,15.0,13.35,1554.52,3918,1.0,1.0,A1046748
51.136122,-114.196,2002.0,18.0,13.25,5405.15,6501,1.0,1.0,A1047017
51.06472,-114.209,1999.0,21.0,9.69,1448.15,,0.0,0.0,A1047046
51.050504,-114.039,2020.0,0.0,2.52,1729.65,,0.0,1.0,A1046980
51.061713,-114.03299999999999,2016.0,4.0,3.42,1513.44,na,0.0,1.0,A1044826
51.088107,-114.08200000000001,2002.0,18.0,4.83,2200.98,5587,1.0,1.0,A1046870
50.888762,-114.083,1958.0,62.0,17.38,2810.25,4467,1.0,1.0,A1043396
51.089646,-114.205,2010.0,10.0,10.42,2810.25,10592,1.0,1.0,A1047022
51.057466999999995,-114.053,1958.0,62.0,2.02,1511.28,,0.0,1.0,A1046769
51.041889000000005,-114.068,2011.0,9.0,0.54,2849.6,,0.0,1.0,A1046729
51.015494,-114.214,2018.0,2.0,10.33,3090.88,6738,1.0,1.0,A1046396
51.020962,-114.132,2001.0,19.0,4.86,3394.0,5985,1.0,1.0,A1047035
51.138979,-114.238,1956.0,64.0,15.52,1080.6,,0.0,1.0,A1046800
51.105635,-113.941,2002.0,18.0,11.48,1426.53,4359,1.0,0.0,A1046604
51.05899,-114.119,1981.0,39.0,3.52,,,0.0,0.0,
51.152915,-114.045,,,12.18,2810.25,4263,1.0,1.0,A1045936
51.02329,-114.15,,,5.84,908.07,,0.0,0.0,A1046746
51.093584,-114.133,2020.0,0.0,6.8,2330.7,4994,1.0,0.0,A1046995
51.080529,-114.145,1968.0,52.0,6.35,2810.25,na,0.0,1.0,A1046940
51.132727,-114.24700000000001,1963.0,57.0,15.54,2802.03,5145,1.0,1.0,A1047091
51.164469,-114.057,2018.0,2.0,13.35,1554.52,3918,1.0,1.0,A1046748
51.136122,-114.196,2005.0,15.0,13.25,5405.15,6501,1.0,1.0,A1047017
51.06472,-114.209,2002.0,18.0,9.69,1448.15,,0.0,0.0,A1047046
51.050504,-114.039,1999.0,21.0,2.52,1729.65,,0.0,1.0,A1046980
51.061713,-114.03299999999999,2020.0,0.0,3.42,1513.44,na,0.0,1.0,A1044826
51.088107,-114.08200000000001,2016.0,4.0,4.83,2200.98,5587,1.0,1.0,A1046870
50.888762,-114.083,2002.0,18.0,17.38,2810.25,4467,1.0,1.0,A1043396
51.089646,-114.205,1958.0,62.0,10.42,2810.25,10592,1.0,1.0,A1047022
51.057466999999995,-114.053,2010.0,10.0,2.02,1511.28,,0.0,1.0,A1046769
51.041889000000005,-114.068,1958.0,62.0,0.54,2849.6,,0.0,1.0,A1046729
51.015494,-114.214,2011.0,9.0,10.33,3090.88,6738,1.0,1.0,A1046396
51.020962,-114.132,2018.0,2.0,4.86,3394.0,5985,1.0,1.0,A1047035
51.138979,-114.238,2001.0,19.0,15.52,1080.6,,0.0,1.0,A1046800
51.105635,-113.941,1956.0,64.0,11.48,1426.53,4359,1.0,0.0,A1046604
51.05899,-114.119,2002.0,18.0,3.52,,,0.0,0.0,
51.152915,-114.045,1981.0,39.0,12.18,2810.25,4263,1.0,1.0,A1045936
51.02329,-114.15,,,5.84,908.07,,0.0,0.0,A1046746
51.093584,-114.133,,,6.8,2330.7,4994,1.0,0.0,A1046995
,,2020.0,0.0,,,,,,
,,1968.0,52.0,,,,,,
,,1963.0,57.0,,,,,,
